Date : 2025-05-16 22:21:04
Directory : e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt
Total : 202 files,  289844 codes, 6180 comments, 12295 blanks, all 308319 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        200 |    289,212 |      6,144 |     12,120 |    307,476 |
| CUDA C++ |          1 |        415 |         28 |        131 |        574 |
| Python   |          1 |        217 |          8 |         44 |        269 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                        |        202 |    289,844 |      6,180 |     12,295 |    308,319 |
| . (Files)                                                                |         49 |     23,432 |      2,323 |      4,417 |     30,172 |
| base                                                                     |         12 |        673 |         89 |        270 |      1,032 |
| cmd                                                                      |         10 |      4,740 |        334 |        768 |      5,842 |
| cpu                                                                      |          9 |      5,300 |        778 |        870 |      6,948 |
| gpu                                                                      |         11 |      2,882 |        213 |        719 |      3,814 |
| util                                                                     |         96 |    250,342 |      2,129 |      4,761 |    257,232 |
| wavefront                                                                |         15 |      2,475 |        314 |        490 |      3,279 |
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                 | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\base\bssrdf.h              | C++      |         22 |          5 |         13 |         40 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\base\bxdf.h                | C++      |        152 |         12 |         37 |        201 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\base\camera.h              | C++      |         50 |          6 |         24 |         80 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\base\film.h                | C++      |         46 |          5 |         24 |         75 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\base\filter.h              | C++      |         26 |          6 |         16 |         48 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\base\light.h               | C++      |         65 |          9 |         26 |        100 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\base\lightsampler.h        | C++      |         30 |          6 |         16 |         52 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\base\material.h            | C++      |         48 |          6 |         20 |         74 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\base\medium.h              | C++      |         76 |         14 |         33 |        123 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\base\sampler.h             | C++      |         44 |          7 |         19 |         70 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\base\shape.h               | C++      |         43 |          6 |         21 |         70 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\base\texture.h             | C++      |         71 |          7 |         21 |         99 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\bsdf.cpp                   | C++      |         11 |          4 |          7 |         22 |
